run_id,cost,dmin,player_id,ego
1,655.0953934070152,1.3059916697682616,1,InferEQ
1,655.0863673984826,1.3079445378836532,2,InferEQ
1,655.522400075836,1.3059916697682616,3,InferEQ
81,699.8753326087513,1.2093722678408902,1,InferEQ
81,723.1544178828187,1.2173172239559695,2,InferEQ
81,732.4811194984101,1.2093722678408902,3,InferEQ
141,704.1248026192354,1.2069451884275986,1,InferEQ
141,725.2167606697232,1.212780021870318,2,InferEQ
141,732.3576197018151,1.2069451884275986,3,InferEQ
21,698.8718770377977,1.2090109683046542,1,InferEQ
21,722.2411224906157,1.219306395177558,2,InferEQ
21,732.8105615953917,1.2090109683046542,3,InferEQ
161,698.4931837178991,1.2150402820590556,1,InferEQ
161,720.58610345976,1.2182602740558868,2,InferEQ
161,729.1291873062027,1.2150402820590556,3,InferEQ
101,656.9865340856899,1.3052171858193837,1,InferEQ
101,655.7787292789508,1.306154412165558,2,InferEQ
101,655.6173235027562,1.3052171858193837,3,InferEQ
121,698.3317184007594,1.2143822250158314,1,InferEQ
121,729.5854799212492,1.2143822250158314,2,InferEQ
121,720.739754420831,1.2185044802344054,3,InferEQ
61,653.8790793364277,1.3102569392377268,1,InferEQ
61,653.8186600936265,1.3102569392377268,2,InferEQ
61,653.631373946451,1.3105017033137558,3,InferEQ
181,655.1365260199995,1.3060373028757382,1,InferEQ
181,655.4148697948855,1.3060373028757382,2,InferEQ
181,655.0986096130142,1.307942909468855,3,InferEQ
41,721.254576811376,1.2173511671816668,1,InferEQ
41,730.629411779828,1.213094552686715,2,InferEQ
41,701.8329543164466,1.213094552686715,3,InferEQ
82,699.6963837176249,1.2080769952107553,1,InferEQ
82,723.2645428197831,1.2177469937251009,2,InferEQ
82,733.4409823230742,1.2080769952107553,3,InferEQ
182,654.997410522264,1.3059655061559627,1,InferEQ
182,655.4654778618763,1.3059655061559627,2,InferEQ
182,655.1860949181506,1.3081403262757563,3,InferEQ
22,655.4966591429115,1.3056056940455538,1,InferEQ
22,655.6394071116392,1.3056056940455538,2,InferEQ
22,655.1659810085927,1.3076153580853638,3,InferEQ
102,737.5233329725868,1.1996236712683257,1,InferEQ
102,705.1342351824565,1.1996236712683257,2,InferEQ
102,724.5046055074902,1.2199253905537761,3,InferEQ
142,653.7427260558648,1.310396125683748,1,InferEQ
142,653.816142011532,1.3104510054493443,2,InferEQ
142,653.8874023923062,1.310396125683748,3,InferEQ
